gu,dong,number,기준_년분기_코드,행정동_코드,집객시설_수,관공서_수,은행_수,종합병원_수,일반_병원_수,약국_수,유치원_수,초등학교_수,중학교_수,고등학교_수,대학교_수,백화점_수,슈퍼마켓_수,극장_수,숙박_시설_수,공항_수,철도_역_수,버스_터미널_수,지하철_역_수,버스_정거장_수,보증금(만원)_전세,임대료(만원)_전세,임대면적_전세,보증금(만원)_월세,임대료(만원)_월세,임대면적_월세
성북구,안암동,7024,20242,11290600,167,4.0,6.0,1.0,1.0,10.0,,1.0,1.0,1.0,71.0,,,,,,,,1.0,35.0,,,,,,
성북구,보문동,3964,20242,11290610,77,4.0,4.0,,,6.0,,2.0,,,,,,,1.0,,,,2.0,10.0,,,,,,
성북구,정릉1동,2336,20242,11290620,63,2.0,,,,6.0,2.0,,,,1.0,,,,,,,,,19.0,,,,,,
성북구,정릉2동,3527,20242,11290630,110,4.0,3.0,,,6.0,1.0,2.0,,,,,,,,,,,1.0,50.0,,,,,,
성북구,정릉3동,4799,20242,11290640,124,4.0,1.0,,,2.0,,1.0,3.0,1.0,28.0,,,,,,,,,38.0,,,,,,
성북구,정릉4동,3975,20242,11290650,133,7.0,3.0,,,12.0,2.0,1.0,,2.0,11.0,,,,,,,,1.0,40.0,,,,,,
성북구,길음1동,2568,20242,11290660,129,3.0,4.0,,,10.0,2.0,3.0,1.0,1.0,,,1.0,,,,,,1.0,26.0,,,,,,
성북구,길음2동,2461,20242,11290685,112,5.0,,,3.0,14.0,,,,,,,,,,,,,,23.0,,,,,,
성북구,월곡1동,3506,20242,11290715,108,2.0,3.0,,,10.0,,2.0,1.0,1.0,,,,,1.0,,,,,30.0,,,,,,
성북구,월곡2동,4866,20242,11290725,135,6.0,4.0,,,12.0,2.0,,1.0,,12.0,,,,,,,,2.0,34.0,,,,,,
성북구,장위1동,4134,20242,11290760,103,4.0,1.0,,,8.0,6.0,1.0,1.0,,,,,,,,,,,37.0,,,,,,
